Table showing signal significance of pions passing various cuts: 
pt    p     eta     mass 
  0.055526   0.007403   0.002115   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.070707   0.010101   0.000000   0.000000 
  0.050265   0.011905   0.002646   0.000000 
  0.169312   0.023810   0.000000   0.000000 
  0.072464   0.018116   0.000000   0.000000 
  0.013889   0.000000   0.000000   0.000000 
  0.029644   0.017787   0.005929   0.000000 
  0.083624   0.001161   0.000000   0.000000 
  0.094471   0.015560   0.003334   0.000000 
  0.116327   0.033061   0.004898   0.000000 
  0.077399   0.006192   0.003096   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.027778   0.020833   0.000000   0.000000 
  0.077778   0.018519   0.007407   0.000000 
  0.142793   0.058159   0.007290   0.000000 
  0.080000   0.030000   0.000000   0.000000 
  0.013841   0.000000   0.000000   0.000000 
  0.030303   0.030303   0.020202   0.000000 
  0.015686   0.000000   0.000000   0.000000 
  0.100000   0.014286   0.000000   0.000000 
  0.019231   0.000000   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.081871   0.005848   0.002924   0.000000 
  0.137987   0.032468   0.005416   0.000000 
  0.111111   0.111111   0.000000   0.000000 
  0.091837   0.040408   0.003270   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.204545   0.122727   0.034091   0.000000 
  0.027218   0.012097   0.000000   0.000000 
  0.111702   0.026596   0.004443   0.000000 
  0.046784   0.026316   0.000000   0.000000 
  0.030303   0.000000   0.000000   0.000000 
  0.061404   0.007974   0.000797   0.000000 
  0.196118   0.024129   0.005988   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.202500   0.087500   0.000000   0.000000 
  0.035595   0.013348   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.036364   0.036364   0.009091   0.000000 
  0.169362   0.017250   0.011764   0.000000 
  0.116782   0.024221   0.006920   0.000000 
  0.114286   0.030952   0.003575   0.000000 
  0.081699   0.032680   0.006536   0.000000 
  0.099446   0.012931   0.004624   0.000000 
  0.092308   0.030769   0.005141   0.000000 
  0.085470   0.038462   0.001425   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.079602   0.018479   0.001421   0.000000 
  0.080579   0.021694   0.002066   0.000000 
  0.002770   0.000000   0.000000   0.000000 
  0.144192   0.023555   0.009924   0.000000 
  0.206347   0.054302   0.021391   0.000000 
  0.142292   0.039526   0.007905   0.000000 
  0.102564   0.012821   0.004294   0.000000 
  0.027972   0.013986   0.006993   0.000000 
  0.093750   0.002976   0.000000   0.000000 
  0.041667   0.027778   0.000000   0.000000 
  0.035156   0.023438   0.003906   0.000000 
  0.135309   0.011598   0.001934   0.000000 
  0.143654   0.017102   0.008624   0.000000 
  0.108597   0.021116   0.008494   0.000000 
  0.068182   0.030303   0.000000   0.000000 
  0.033493   0.009569   0.001595   0.000000 
