Table showing signal significance of signal muons passing various cuts: 
gamma(pt cut)  gamma(p cut)   S(gamma cuts(pt+p+eta))   B_EM(gamma cuts(pt+p+eta))   B(gamma cuts(pt+p+eta))   misID(gamma cuts(pt+p+eta))   S/B_EM(gamma cuts(pt+p+eta))  S/sqrt(B+misID)(gamma cuts(pt+p+eta))  
1.00000e-02   2.40000e+00   2.35976e-04   1.82900e-01   4.48792e-01   1.24222e-01   3.52245e-04   6.69525e-04  
1.00000e-02   2.50000e+00   2.32369e-04   1.81350e-01   4.39752e-01   1.20142e-01   3.50409e-04   6.70396e-04  
1.00000e-02   2.60000e+00   2.29214e-04   1.79800e-01   4.31627e-01   1.16357e-01   3.48889e-04   6.71962e-04  
1.00000e-02   2.70000e+00   2.26960e-04   1.79490e-01   4.24924e-01   1.12754e-01   3.48172e-04   6.75903e-04  
1.00000e-02   2.80000e+00   2.24706e-04   1.78250e-01   4.18420e-01   1.09350e-01   3.47384e-04   6.79527e-04  
1.00000e-02   2.90000e+00   2.22678e-04   1.77010e-01   4.12367e-01   1.06087e-01   3.46765e-04   6.83668e-04  
1.00000e-02   3.00000e+00   2.19748e-04   1.75770e-01   4.05231e-01   1.02981e-01   3.45202e-04   6.84773e-04  
1.00000e-02   3.10000e+00   2.14564e-04   1.70500e-01   3.95152e-01   1.00032e-01   3.41331e-04   6.78402e-04  
1.00000e-02   3.20000e+00   2.12987e-04   1.69260e-01   3.89994e-01   9.70441e-02   3.41054e-04   6.83703e-04  
1.00000e-02   3.30000e+00   2.10958e-04   1.68330e-01   3.84403e-01   9.42428e-02   3.40254e-04   6.87183e-04  
1.00000e-02   3.40000e+00   2.10057e-04   1.67400e-01   3.80625e-01   9.17051e-02   3.40477e-04   6.93649e-04  
1.00000e-02   3.50000e+00   2.08930e-04   1.67090e-01   3.76540e-01   8.91702e-02   3.40482e-04   6.99665e-04  
1.00000e-02   3.60000e+00   2.07577e-04   1.66470e-01   3.72329e-01   8.68189e-02   3.40186e-04   7.04487e-04  
1.00000e-02   3.70000e+00   2.06000e-04   1.65850e-01   3.67958e-01   8.46184e-02   3.39600e-04   7.08165e-04  
1.00000e-02   3.80000e+00   2.03520e-04   1.63990e-01   3.62330e-01   8.24003e-02   3.38108e-04   7.08996e-04  
1.00000e-02   3.90000e+00   2.02168e-04   1.63060e-01   3.58301e-01   8.02311e-02   3.37745e-04   7.13743e-04  
1.00000e-02   4.00000e+00   1.99013e-04   1.62130e-01   3.51806e-01   7.80756e-02   3.35529e-04   7.12235e-04  
1.00000e-02   4.10000e+00   1.95857e-04   1.59340e-01   3.45516e-01   7.61261e-02   3.33201e-04   7.09861e-04  
1.00000e-02   4.20000e+00   1.93829e-04   1.57480e-01   3.40825e-01   7.42246e-02   3.32012e-04   7.11451e-04  
1.00000e-02   4.30000e+00   1.92026e-04   1.56240e-01   3.36613e-01   7.24929e-02   3.30975e-04   7.13201e-04  
1.00000e-02   4.40000e+00   1.91350e-04   1.55620e-01   3.33910e-01   7.07199e-02   3.31141e-04   7.19544e-04  
1.00000e-02   4.50000e+00   1.89321e-04   1.54070e-01   3.29410e-01   6.90097e-02   3.29861e-04   7.20684e-04  
1.00000e-02   4.60000e+00   1.87744e-04   1.52830e-01   3.25578e-01   6.73479e-02   3.29032e-04   7.23441e-04  
1.00000e-02   4.70000e+00   1.86391e-04   1.51900e-01   3.22058e-01   6.56878e-02   3.28442e-04   7.27250e-04  
1.00000e-02   4.80000e+00   1.85490e-04   1.51590e-01   3.19289e-01   6.41587e-02   3.28268e-04   7.32306e-04  
1.00000e-02   4.90000e+00   1.83461e-04   1.50970e-01   3.15044e-01   6.27040e-02   3.26858e-04   7.32651e-04  
1.00000e-02   5.00000e+00   1.83011e-04   1.50350e-01   3.12997e-01   6.12772e-02   3.27119e-04   7.39311e-04  
1.00000e-02   5.10000e+00   1.80982e-04   1.49730e-01   3.08685e-01   5.97546e-02   3.25746e-04   7.40373e-04  
1.00000e-02   5.20000e+00   1.79630e-04   1.48180e-01   3.05453e-01   5.83828e-02   3.25017e-04   7.43423e-04  
1.00000e-02   5.30000e+00   1.78503e-04   1.46940e-01   3.02561e-01   5.70410e-02   3.24518e-04   7.47398e-04  
1.00000e-02   5.40000e+00   1.76249e-04   1.46010e-01   2.98159e-01   5.57393e-02   3.22777e-04   7.46529e-04  
